PRO-0-00;Edit Profile;Editar Perfil;Bewerk profiel
PRO-0-01;No photo;Sem foto;Geen foto
PRO-0-10;Web/Desktop;Web/Desktop;Web / Desktop
PRO-0-20;Setting;Configurações;Instelling
PRO-0-30;Premium;Premium;Premie
PRO-0-40;Try 2 weeks for free!;Teste 2 semanas gratuitamente!;Probeer 2 weken gratis!
PRO-0-50;FAQ;FAQ;FAQ
PRO-0-60;Give us feedback;Nos de feedback;Geef ons feedback
PRO-0-70;Log out;Sair da conta;Uitloggen
PRO-0-80;Verify your email;Verifique seu email;Controleer je email
PRO-0-90;Please confirm;Por favor confirme;Bevestig alstublieft
PRO-1-00;Edit your profile;Edite seu perfil;pas je profiel aan
PRO-1-01;Profile;Perfil;Profiel
PRO-1-10;No photo;Sem foto;Geen foto
PRO-1-11;Name;Nome;Naam
PRO-1-21;Surname;Sobrenome;Achternaam
PRO-1-31;Phone number;Numero do telefone;Telefoonnummer
PRO-1-41;Email;Email;E-mail
PRO-1-51;Date of birth;Data de nascimento;Geboortedatum
PRO-1-60;Save Changes;Salvar mudanças;Wijzigingen opslaan
PRO-1-70;We will send you a verification email;Nós lhe enviaremos um email de verificação;We sturen u een verificatie-e-mail
PRO-1-80;Please verify your email;Por favor verifique seu email;Verifieer uw e-mail
PRO-1-90;Resend verification Email;Reenviar email de verificação;Verzend de verificatie-e-mail opnieuw
PRO-2-00;Change your phone number;Mudar o numero de telefone;Verander je telefoonnummer
PRO-2-10;Fill and confirm your new phone number so you can login with your updated phone number.;Aplique e confirme seu novo telefone para poder logar com o mesmo;Vul en bevestig uw nieuwe telefoonnummer zodat u kunt inloggen met uw bijgewerkte telefoonnummer.
PRO-2-20;This action cannot be undone;Esta ação não pode ser desfeita;Deze actie kan niet ongedaan gemaakt worden
PRO-2-30;Phone number;Numero do telefone;Telefoonnummer
PRO-2-40;Save Changes;Salvar mudanças;Wijzigingen opslaan
PRO-3-00;Change your phone number;Mudar o numero de telefone;Verander je telefoonnummer
PRO-3-10;Enter the 7 digit code we sent you in na sms to;Entre o código de 7 digitos enviados via SMS para ;Voer de 7-cijferige code in die we u in een sms naar u hebben gestuurd
PRO-3-20;Wrong number?;Numero errado?;Verkeerd nummer?
PRO-3-30;SMS code;código SMS;SMS-code
PRO-3-40;Save Changes;Salvar mudanças;Wijzigingen opslaan
PRO-4-00;FAQ;FAQ;FAQ
PRO-4-10;All frequently asked questions;Todas as perguntas frequentes;Allemaal veel gestelde vragen
PRO-4-20;Which banks are connected with paynote;Quais bancos estão conectados com Paynote?;Welke banken zijn verbonden met paynote
PRO-4-30;How can I contact paynote?;Como posso contactar paynote?;Hoe kan ik contact opnemen met Paynote?
PRO-4-40;What you do with my data?;O que fazem com meus dados?;Wat doe je met mijn gegevens?
PRO-4-50;How dows paynote make money?;Como paynote ganha dinheiro?;Hoe verdien je geld met een bankbiljet?
PRO-4-60;How I can delete my account;Como deletar minha conta?;Hoe ik mijn account kan verwijderen
PRO-4-70;How can I change my phone number?;Como mudar meu numero de telefone?;Hoe kan ik mijn telefoonnummer wijzigen?
PRO-4-80;How does paynote protect my user data?;Como paynote usa meus dados;Hoe beschermt Paynote mijn gebruikersgegevens?
PRO-4-90;What is the category 'transfer'?;O que é a categoria 'transferencia'?;Wat is de categorie 'overboeking'?
PRO-4-A0;What is the category 'exclude'?;O que é a categoria 'excluir'?;Wat is de categorie 'uitsluiten'?
PRO-5-00;Settings;Configurações;Instellingen
PRO-5-01;Profile;Perfil;Profiel
PRO-5-10;All your account settings;Todas as configurações da sua conta;Al uw accountinstellingen
PRO-5-20;Notifications;Notificações;Meldingen
PRO-5-30;Language and Currency;Linguagem e moeda;Taal en valuta
PRO-5-40;Appearence;Aparência;Verschijning
PRO-5-50;Access Code;Código de Acesso;Toegangscode
PRO-5-60;About Paynote;Sobre Paynote;Over Paynote
PRO-5-70;Delete account;Deletar conta;Account verwijderen
PRO-5-80;Version ;Versão;Versie
PRO-6-00;Notifications;Notificações;Meldingen
PRO-6-10;New uncathegorised expenses;Novos gastos não categorizados;Nieuwe niet-geaccordeerde uitgaven
PRO-6-20;New expense without receipt;Novo gasto sem nota fiscal;Nieuwe uitgave zonder ontvangstbewijs
PRO-6-30;New income;Nova renda;Nieuw inkomen
PRO-6-40;A budget has reached 50%;Um orçamento alcançou 50%;Een budget heeft 50% bereikt
PRO-6-50;A budget has reached 100%;Um orçamento alcançou 100%;Een budget heeft 100% bereikt
PRO-6-60;Monthly income vs outgoing sum;Ganho mensal contra gastos;Maandelijks inkomen versus uitgaande som
PRO-6-70;First of every month;Todo dia primeiro;Eerste van elke maand
PRO-6-80;Weekly expenses sum;Resultados semanais;Wekelijkse onkostensom
PRO-6-90;Every Sunday evening;Todo domingo de manhã;Elke zondagavond
PRO-6-A0;Daily balance sum;Resultados diários;Dagelijks saldo
PRO-6-B0;Every evening;Toda manhã;Elke avond
PRO-7-00;Privacy;Privacidade;Privacy
PRO-7-10;Marketing emails;Emails de marketing;Marketing-e-mails
PRO-7-20;I want to receive marketing emails that interest me;Eu quero receber emails que me interessam;Ik wil marketing-e-mails ontvangen die mij interesseren
PRO-7-30;Social media & advertising;Redes Sociais e Propagandas;Social media en reclame
PRO-7-40;I'm okay with paynote sharing my personal data for advertising of the APP.;Eu concordo em ter minha informação utilizada para propagandas do aplicativo;Ik vind het prima dat Paynote mijn persoonlijke gegevens deelt voor reclame voor de APP.
PRO-7-50;Updates;Updates;Updates
PRO-7-60;I want to get updates about new features and changes;Eu quero receber novidades sobre novas funcionalidades e mudanças;Ik wil updates ontvangen over nieuwe functies en wijzigingen
PRO-7-70;Save Changes;Salvar mudanças;Wijzigingen opslaan
PRO-8-00;Appearence;Aparência;Verschijning
PRO-8-10;Follow iOS;Seguir iOS;Volg iOS
PRO-8-20;Darkmode;Modo escuro;Donkere modus
PRO-8-30;Save Changes;Salvar mudanças;Wijzigingen opslaan
PRO-9-00;Language and Currency;Linguagem e moeda;Taal en valuta
PRO-9-10;Currency;Moeda;Valuta
PRO-9-20;Language;Linguagem;Taal
PRO-9-30;Save Changes;Salvar mudanças;Wijzigingen opslaan
PRO-A-00;Access Code;Código de Acesso;Toegangscode
PRO-A-10;Pincode;Codigo PIN;Pincode
PRO-A-20;[Biometric];Biometria;[Biometrisch]
PRO-A-30;Save Changes;Salvar mudanças;Wijzigingen opslaan
PRO-A-40;Choose a pincode;Escolha um codigo pin;Kies een pincode
PRO-A-50;Repeat pincode;Repita o seu pin;Herhaal de pincode
PRO-A-51;pin does not match, please repeat the process;Pin não equivalente, por favor repita o processo;pin komt niet overeen, herhaal het proces
PRO-A-60;To make sure you never get locked out set a pincode other than biometric;Para ter certeza que nunca perderá acesso escolha um codigo pin além da biometria;Om ervoor te zorgen dat u nooit buitengesloten wordt, stelt u een andere pincode in dan biometrisch
PRO-B-00;About Paynote;Sobre Paynote;Over Paynote
PRO-B-10;You will be notified if there is a change in policy or business operation;Você será notificado se tivermos quaisquer mudanças em nossas politicas ou modelo de negócios;U krijgt bericht als er een wijziging is in het beleid of de bedrijfsvoering
PRO-B-20;Privacy statement;Acordo de Privacidade;Privacyverklaring
PRO-B-30;Version ;Versão;Versie
PRO-C-00;Terms & Conditions;Termos e Condições;algemene voorwaarden
PRO-C-10;Last updated on mo 2 jan 2020;Atualizado dia Seg 2 janeiro 2020;Laatst bijgewerkt op ma 2 jan 2020
PRO-C-20;Accepting;Aceitando;Accepteren
PRO-C-30;Changes in terms;Mudanças de termos;Veranderingen in termen
PRO-C-40;Using our product;Usando o nosso produto;Ons product gebruiken
PRO-C-50;General restrictions;Restrições gerais;Algemene beperkingen
PRO-C-60;Liability policy;Politicas de culpabilidade;Aansprakelijkheidsbeleid
PRO-C-70;Your rights;Seus direitos;Jou rechten
PRO-C-80;General legal terms;Termos legais;Algemene juridische voorwaarden
PRO-D-00;Privacy statement;Declaração de privacidade;Privacyverklaring
PRO-D-10;Last updated on mo 2 jan 2020;Atualizado dia Seg 2 janeiro 2020;Laatst bijgewerkt op ma 2 jan 2020
PRO-D-20;Accepting;Aceitando;Accepteren
PRO-D-30;Changes in terms;Mudanças de termos;Veranderingen in termen
PRO-D-40;Using our product;Usando o nosso produto;Ons product gebruiken
PRO-D-50;General restrictions;Restrições gerais;Algemene beperkingen
PRO-D-60;Liability policy;Politicas de culpabilidade;Aansprakelijkheidsbeleid
PRO-D-70;Your rights;Seus direitos;Jou rechten
PRO-D-80;General legal terms;Termos legais;Algemene juridische voorwaarden
MEN-0-00;Home;Home;Huis
MEN-0-01;Insights;Insights;Inzichten
MEN-0-02;Accounts;Contas;Accounts
