 ;EN-US;PT-BR
PRO-0-00;Edit Profile;Editar Perfil
PRO-0-10;Web/Desktop;Web/Desktop
PRO-0-20;Setting;Configurações
PRO-0-30;Premium;Premium
PRO-0-40;Try 2 weeks for free!;Teste 2 semanas gratuitamente!
PRO-0-50;FAQ;FAQ
PRO-0-60;Give us feedback;Nos de feedback
PRO-0-70;Log out;Sair da conta
PRO-0-80;Verify your email;Verifique seu email
PRO-0-90;Please confirm;Por favor confirme
PRO-1-00;Edit your profile;Edite seu perfil
PRO-1-10;Name;Nome
PRO-1-20;Surname;Sobrenome
PRO-1-30;Phone number;Numero do telefone
PRO-1-40;Email;Email
PRO-1-50;Date of birth;Data de nascimento
PRO-1-60;Save Changes;Salvar mudanças
PRO-1-70;We will send you a verification email;Nós lhe enviaremos um email de verificação
PRO-1-80;Please verify your email;Por favor verifique seu email
PRO-2-00;Change your phone number;Mudar o numero de telefone
PRO-2-10;Fill and confirm your new phone number so you can login with your updated phone number.;Aplique e confirme seu novo telefone para poder logar com o mesmo
PRO-2-20;This action cannot be undone;Esta ação não pode ser desfeita
PRO-2-30;Phone number;Numero do telefone
PRO-2-40;Save Changes;Salvar mudanças
PRO-3-00;Change your phone number;Mudar o numero de telefone
PRO-3-10;Enter the 7 digit code we sent you in na sms to;Entre o código de 7 digitos enviados via SMS para 
PRO-3-20;Wrong number?;Numero errado?
PRO-3-30;SMS code;código SMS
PRO-3-40;Save Changes;Salvar mudanças
PRO-4-00;FAQ;FAQ
PRO-4-10;All frequently asked questions;Todas as perguntas frequentes
PRO-4-20;Which banks are connected with paynote;Quais bancos estão conectados com Paynote?
PRO-4-30;How can I contact paynote?;Como posso contactar paynote?
PRO-4-40;What you do with my data?;O que fazem com meus dados?
PRO-4-50;How dows paynote make money?;Como paynote ganha dinheiro?
PRO-4-60;How I can delete my account;Como deletar minha conta?
PRO-4-70;How can I change my phone number?;Como mudar meu numero de telefone?
PRO-4-80;How does paynote protect my user data?;Como paynote usa meus dados
PRO-4-90;What is the category 'transfer'?;"O que é a categoria ""transferencia""?"
PRO-4-A0;What is the category 'exclude'?;"O que é a categoria ""excluir""?"
PRO-5-00;Settings;Configurações
PRO-5-10;All your account settings;Todas as configurações da sua conta
PRO-5-20;Notifications;Notificações
